PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	origCPC1	origCPC2	origCPC3	ourCPCnum1	ourCPCnum2	ourCPCnum3	GeoCode
pat0406	num-12/288 956	yr2009	Solar Monitoring	Hollsboro  OR	OR	OR	USA	5	Solar Monitoring	G01R			Y04S	G06Q	Y02E	OR
pat0529	num-12/777 224	yr2010	Site Assessment	New York  NY	NY	NY	USA	5	Solar Monitoring	Y04S	H02J	Y04S	Y04S	G06Q	Y02E	NY
pat0754	num-13/277 878	yr2012	Solar Mounting/Rack	Lafayette  CO	CO	CO	USA	14	Solar Mounting/Rack	F24J	F16B		F24J	Y02E	H01L	CO
pat0317	num-8338989	yr2012	Solar Inverter	Perrysburg  OH	OH	OH	USA	6	Solar Inverter	Y02E	H02J		H02J	Y02E	H02M	OH
pat0552	num-12/845 802	yr2012	Solar Inverter	Schenectady  NY	NY	NY	USA	6	Solar Inverter	H02M	H02J		H02J	Y02E	H02M	NY
pat0403	num-12/275 147	yr2009	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	NM
pat0676	num-13/091 960	yr2011	Solar Mounting/Rack	Richmond  CA	CA	CA	USA	14	Solar Mounting/Rack	F24J	H01L	Y02E	F24J	Y02E	H01L	Bay_Area
pat0110	num-7824189	yr2010	Solar Mounting/Rack	Berwyn  PA	PA	PA	USA	9	Solar Mounting/Rack	Y02E	H01L		H01L	Y02E	H01R	PA
pat0722	num-13/200 190	yr2012	Solar Inverter	Westford  MA	MA	MA	USA	9	Solar Mounting/Rack	Y02E	H01L		H01L	Y02E	H01R	MA
pat0083	num-7748175	yr2010	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	NM
pat0396	num-12/218 507	yr2009	Solar Monitoring	Marrickville	N/A	N/A	Australia	3	Solar Monitoring	G06Q			H02J	Y02E	Y02B	oceana
pat0238	num-8183457	yr2012	Solar Mounting/Rack	San Diego  CA	CA	CA	USA	13	Solar Mounting/Rack	Y02E	F24J		H01L	Y02E	F24J	SOCAL
pat0165	num-7974079	yr2011	Solar Mounting/Rack	Armonk  NY	NY	NY	USA	9	Solar Mounting/Rack	F16M			H01L	Y02E	H01R	NY
pat0713	num-13/181 269	yr2012	Solar Inverter	Fort Collins  CO	CO	CO	USA	1	Site Assessment	H02J			G01W	G06Q	G01R	CO
pat0695	num-13/138 413	yr2011	Solar Mounting/Rack	Pettenbach	N/A	N/A	Austria	9	Solar Mounting/Rack	H05K	H02M		H01L	Y02E	H01R	europe
pat0584	num-12/904 972	yr2011	Solar Monitoring	San Jose  CA	CA	CA	USA	12	Solar Mounting/Rack	Y02E	H01L		Y02E	H01L	F24J	Bay_Area
pat0592	num-12/914 599	yr2011	Solar Mounting/Rack	Poway  CA	CA	CA	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	SOCAL
pat0201	num-8094475	yr2012	Solar Inverter	Niestetal	N/A	N/A	Germany	0	Solar Inverter	H02M	Y02E	Y02B	H02M	Y02E	H02J	germany
pat0803	num-13/423660	yr2012	Solar Mounting/Rack	Valley Forge  PA	PA	PA	USA	4	Solar Mounting/Rack	E04D	Y02B	E04D	Y02B	H01L	Y02E	PA
pat0783	num-13/361 289	yr2012	Solar Monitoring	Freising	N/A	N/A	Germany	11	Solar Inverter				Y02E	H02J	G05F	germany
pat0624	num-12/993 003	yr2011	Solar Mounting/Rack	Nunawading	N/A	N/A	Australia	14	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	oceana
pat0340	num-11/560 186	yr2008	Solar Inverter	Redding  CT	CT	CT	USA	6	Solar Inverter	H02J	Y02E	H01L	H02J	Y02E	H02M	CT
pat0514	num-12/730 012	yr2010	Solar Monitoring	San Diego  CA	CA	CA	USA	5	Solar Monitoring	H01L	Y02E		Y04S	G06Q	Y02E	SOCAL
pat0105	num-7817419	yr2010	Solar Inverter	Wagen	N/A	N/A	Germany	13	Solar Mounting/Rack	H02J			H01L	Y02E	F24J	germany
pat0234	num-8174856	yr2012	Solar Monitoring	Austin  TX	TX	TX	USA	6	Solar Inverter	H02M	Y02E	Y02B	H02J	Y02E	H02M	TX
